City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
43,Camabatela,AO,64.13,light rain,-8.1881,15.375,Comércio e Prestação de Serviços
44,Assai,BR,76.86,clear sky,-23.3733,-50.8414,Árvore Menor
45,Lebu,CL,54.55,moderate rain,-37.6167,-73.65,Hostal Las Lilas
46,Padang,ID,76.66,overcast clouds,-0.9492,100.3543,Mercure Padang
47,Jalu,LY,62.46,clear sky,29.0331,21.5482,صاحبة الفخامة
48,Airai,TL,58.64,scattered clouds,-8.9266,125.4092,
49,Ancud,CL,51.22,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
50,Saint-Francois,FR,51.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
51,Remanso,BR,82.08,broken clouds,-9.6179,-42.0831,Hotel Mangueira
52,Trairi,BR,78.55,overcast clouds,-3.2778,-39.2689,janelas do mar
53,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
54,Bulgan,MN,31.41,light snow,48.8125,103.5347,Unitel Булган салбар
55,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
56,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
57,Sterling,US,51.28,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
58,Ambilobe,MG,74.03,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
59,Carballo,ES,50.86,broken clouds,43.213,-8.691,Pazo do Souto
60,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Plettenberg Bay,ZA,64.67,clear sky,-34.0527,23.3716,Thanda Vista B&B
